GHCND:USC00045280,STATION,STATION_NAME,DATE,YEAR,MONTH,DAY,MDPR,MDSF,DAPR,DASF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT05,WT04,WT03
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940405,1994,4,5,-9999,-9999,-9999,-9999,0,0,0,106,-9999,-33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940406,1994,4,6,-9999,-9999,-9999,-9999,0,0,0,122,-9999,17,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940407,1994,4,7,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,0,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940408,1994,4,8,-9999,-9999,-9999,-9999,0,0,0,22,-9999,-17,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940409,1994,4,9,-9999,-9999,-9999,-9999,61,76,64,-9999,-9999,-28,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940410,1994,4,10,-9999,-9999,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940411,1994,4,11,-9999,-9999,-9999,-9999,15,0,0,61,-9999,-44,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940412,1994,4,12,-9999,-9999,-9999,-9999,0,-9999,0,150,-44,33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940413,1994,4,13,-9999,-9999,-9999,-9999,0,-9999,0,161,-9999,22,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940414,1994,4,14,-9999,-9999,-9999,-9999,0,-9999,0,183,-9999,83,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940415,1994,4,15,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,33,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940416,1994,4,16,-9999,-9999,-9999,-9999,0,-9999,0,194,-9999,72,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940417,1994,4,17,-9999,-9999,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940418,1994,4,18,-9999,-9999,-9999,-9999,0,-9999,0,206,-9999,78,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940419,1994,4,19,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,83,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940420,1994,4,20,-9999,-9999,-9999,-9999,0,-9999,0,211,-9999,61,-9999,-9999,-9999,-9999
GHCND:USC00045280,GHCND:USC00045280,MAMMOTH LAKES R S CA US,19940421,1994,4,21,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,78,-9999,-9999,-9999,-9999
